config,exp,rep,name,pid,arrive,first,end,cpu,wait,sleep,response,turnaround,maxwait,dispatch,expire,preempt,nsleep,demote,promote,prio,q0,q1,q2
rr,aging,3,stream,93,1055316,1060576,1255887,100028,100542,0,5260,200571,10011,11,0,0,0,0,0,0,100028,0,0
rr,aging,3,stream,94,1161254,1161258,1357175,100034,95887,0,4,195921,10022,11,0,0,0,0,0,0,100034,0,0
rr,aging,3,stream,95,1256457,1260793,1457225,100042,100726,0,4336,200768,10011,11,0,0,0,0,0,0,100042,0,0
rr,aging,3,stream,96,1361471,1361475,1558514,100034,97008,0,4,197043,10022,11,0,0,0,0,0,0,100034,0,0
rr,aging,3,stream,97,1457795,1461010,1658564,100042,100726,0,3215,200769,10011,11,0,0,0,0,0,0,100042,0,0
rr,aging,3,stream,98,1561688,1561692,1759853,100034,98130,0,4,198165,10022,11,0,0,0,0,0,0,100034,0,0
rr,aging,3,stream,99,1659134,1661227,1859889,100028,100726,0,2093,200755,10011,11,0,0,0,0,0,0,100028,0,0
rr,aging,3,stream,100,1761905,1761908,1961178,100034,99239,0,3,199273,10022,11,0,0,0,0,0,0,100034,0,0
rr,aging,3,stream,101,1860459,1861444,2061228,100042,100726,0,985,200769,10011,11,0,0,0,0,0,0,100042,0,0
rr,aging,3,stream,102,1962121,1962125,2112100,100032,49946,0,4,149979,10023,12,0,0,0,0,0,0,100032,0,0
